,barcode,x,y,Cluster
0,0,5952.44140625,1723.567626953125,3
1,1,5968.4580078125,1720.0582275390625,3
2,2,5959.34814453125,1724.971923828125,3
3,3,5972.5078125,1754.219482421875,3
4,4,5950.8330078125,1756.344482421875,3
5,5,5970.8095703125,1758.8726806640625,3
6,6,5982.75390625,1757.431884765625,3
7,7,5980.845703125,1753.3834228515625,3
8,8,5963.61474609375,1743.6483154296875,3
9,9,5978.92919921875,1747.47216796875,3
10,10,5960.41162109375,1734.7008056640625,3
11,11,5974.60205078125,1744.845703125,3
12,12,5957.2626953125,1742.4232177734375,3
13,13,5970.92236328125,1741.4093017578125,3
14,14,5962.49560546875,1726.540283203125,3
15,15,5967.54736328125,1727.7193603515625,3
16,16,5969.39453125,1766.0972900390625,3
17,17,5975.89453125,1773.6533203125,3
18,18,5981.63671875,1769.20849609375,3
19,19,5984.615234375,1763.6239013671875,3
20,20,5954.74267578125,1778.0631103515625,5
21,21,5945.2705078125,1782.7652587890625,2
22,22,5951.8251953125,1784.23974609375,4
23,23,5970.0625,1777.4945068359375,3
24,24,5961.05419921875,1784.99169921875,3
25,25,5966.44677734375,1788.2220458984375,3
26,26,5962.796875,1778.1927490234375,3
27,27,5974.8720703125,1781.841552734375,3
28,28,5928.2578125,1744.14501953125,6
29,29,5924.89794921875,1757.71728515625,6
30,30,5925.22998046875,1732.8544921875,6
31,32,5910.849609375,1774.3941650390625,6
32,33,5917.57421875,1786.3043212890625,6
33,34,5905.8486328125,1784.9696044921875,6
34,35,5910.12158203125,1781.00341796875,6
35,36,5918.04248046875,1778.578125,4
36,37,5936.10595703125,1784.5843505859375,6
37,38,5938.751953125,1790.117919921875,6
38,39,5937.9912109375,1773.7076416015625,6
39,40,5923.4970703125,1767.843017578125,6
40,41,5924.01611328125,1783.75830078125,6
41,42,5930.50341796875,1768.9071044921875,6
42,43,5924.95361328125,1777.3294677734375,4
43,44,5916.23779296875,1751.231689453125,6
44,45,5915.87939453125,1770.81591796875,6
45,46,5908.517578125,1762.2032470703125,6
46,47,5915.42724609375,1729.264892578125,6
47,48,5919.69091796875,1723.3319091796875,2
48,49,5925.24169921875,1723.8773193359375,6
49,50,5913.60693359375,1741.483642578125,6
50,51,5921.6552734375,1742.3931884765625,6
51,52,5952.41845703125,1807.44287109375,6
52,53,5942.62841796875,1813.9027099609375,6
53,54,5944.3662109375,1805.07568359375,6
54,55,5952.7958984375,1816.3466796875,6
55,56,5948.451171875,1812.63232421875,9
56,57,5958.0048828125,1809.2625732421875,3
57,58,5980.47412109375,1799.16943359375,3
58,59,5992.4794921875,1795.31396484375,3
59,60,5987.95751953125,1794.5316162109375,3
60,61,5997.40234375,1799.2781982421875,3
61,62,5983.6455078125,1802.412353515625,3
62,63,5992.7041015625,1785.8973388671875,3
63,64,5969.5458984375,1818.286865234375,3
64,65,5983.9140625,1811.0904541015625,3
65,66,5980.32275390625,1808.12744140625,3
66,67,5978.646484375,1817.7034912109375,3
67,68,5965.9814453125,1792.5020751953125,3
68,69,5976.669921875,1798.9239501953125,3
69,71,5967.9306640625,1795.3948974609375,3
70,72,5946.35546875,1791.2388916015625,5
71,73,5954.61962890625,1801.9844970703125,6
72,74,5949.9228515625,1796.9058837890625,6
73,75,5956.828125,1792.298095703125,3
74,76,5965.37646484375,1889.14990234375,6
75,77,5965.322265625,1897.345703125,6
76,78,5958.8154296875,1894.137451171875,6
77,79,5969.41259765625,1880.7781982421875,3
78,80,5980.92578125,1885.8529052734375,3
79,81,5974.3984375,1894.8065185546875,3
80,82,5975.20361328125,1884.6878662109375,3
